bib_key,section,subsection,sentence,file
akesson2024random,Related Work,Metrics and efficiency reporting,"Scanning many seeds on standard image benchmarks finds the spread between them modest, but seeds performing markedly better or worse than the average easy to come across \citep{picard2021seed}, and conclusions drawn from model comparisons with small effect sizes have been shown to be unreliable without repeated runs \citep{gundersen2023reporting}; where random effects during training have been studied directly, a statistically significant difference was found to be a weak indicator of a true one \citep{akesson2024random}.",02-related-work.tex
akesson2024random,Limitations,(section opening),"Testing would not settle the question either: where random effects during training have been studied directly, a statistically significant difference has been reported to be a weak indicator that a true difference exists \citep{akesson2024random}.",08-limitations.tex
apicella2025leakage,Related Work,"Dataset splits, leakage and evaluation validity","Defects in how data is partitioned are documented across many scientific fields and have been identified as a contributor to irreproducible machine-learning results \citep{kapoor2023leakage}, and the ways they arise have been organised into taxonomies covering both conventional and transfer-learning settings \citep{apicella2025leakage}.",02-related-work.tex
bernett2024guiding,Related Work,"Dataset splits, leakage and evaluation validity","Where observations are not independent — repeated measurements of the same subject, samples from the same source — a split that ignores the grouping places related items on both sides of the boundary and inflates measured performance; this has been shown directly for connectome-based models \citep{rosenblatt2024leakage}, and checklists exist for detecting the condition before a model is trained \citep{bernett2024guiding}.",02-related-work.tex
chen2023run,Related Work,Metrics and efficiency reporting,"Parameter counts and FLOPs both correlate poorly with measured on-device latency \citep{vasu2023mobileone,chen2023run}, and on low-compute edge hardware latency has been reported to track detection accuracy more closely than either \citep{kong2026edge}.",02-related-work.tex
chen2023run,Discussion,Reporting speed changes the answer,"The complexity proxy most often reported in its place would have misled, and the failure is a documented one rather than a local accident: parameter counts and FLOPs are both reported to correlate poorly with measured on-device latency \citep{vasu2023mobileone,chen2023run}, and a benchmark of nine YOLO variants across three edge systems-on-chip reports latency tracking accuracy more closely than either \citep{kong2026edge}.",07-discussion.tex
chen2025augmentation,Related Work,ElectroCom61 and the results reported on it,"That set was established by citation search on Google Scholar in August 2026: of the works citing the dataset paper, two are those benchmark studies and two cite the dataset as related work without training on it \citep{nguyen2025iotkits,chen2025augmentation}.",02-related-work.tex
coco,Related Work,Metrics and efficiency reporting,"The COCO benchmark established mAP averaged over ten intersection-over-union thresholds from 0.5 to 0.95 as the standard detection metric, alongside the single-threshold mAP@50 that preceded it \citep{coco}.",02-related-work.tex
coco,Benchmark Setup,Evaluation protocol,"Four accuracy quantities are reported. mAP@50 is included because it is the only accuracy metric the three prior studies tabulate, and comparability requires it. mAP@50--95, the COCO standard \citep{coco}, averages precision over ten intersection-over-union thresholds rather than one and is therefore sensitive to localisation quality as well as to detection; both benchmark studies plot it in their training curves, but neither tabulates a value for any model, so no published figure exists to compare against.",05-benchmark-setup.tex
detr,Related Work,Metrics and efficiency reporting,"Non-maximum suppression is a recognised postprocessing cost, and removing it is an explicit design goal in recent detectors — in the transformer line since DETR \citep{detr}, and within the YOLO family in architectures trained to produce a single prediction per object \citep{yolov10}.",02-related-work.tex
