setting,value,source,citation
models (replicated),"yolov9s, yolo11s, yolo12s",copied,"[YOLOv12] Sec. IV; [YOLOv13] Sec. IV, comparison tables"
models (new),"yolo26s, rtdetr-l",added,no prior study on this dataset uses either
epochs,100,copied,[YOLOv12] Sec. IV; [YOLOv13] Sec. IV
batch,16,copied,[YOLOv12] Sec. IV; [YOLOv13] Sec. IV
imgsz,640,constrained,dataset stored at 640x640; neither paper states imgsz as a training argument
optimizer,AdamW,copied,[YOLOv12] Sec. IV; [YOLOv13] Sec. IV
lr0,0.01,copied,[YOLOv12] Sec. IV; [YOLOv13] Sec. IV
lr0 (RT-DETR-l),0.0001,added,reduced from 0.01; transformer diverged at the YOLO learning rate
weight_decay,0.0005,copied,[YOLOv12] Sec. IV; [YOLOv13] Sec. IV
patience,15,added,
seed,0,added,
deterministic,true,added,
pretrained,true,added,COCO weights
gpu,Tesla P100-PCIE-16GB,copied,"[YOLOv12] Sec. IV; [YOLOv13] Sec. IV: both state the P100 GPU provided by Kaggle; the full device string is this study's own"
ultralytics,8.4.115,added,stated by neither paper
torch,2.5.1+cu121,differs,prior work states PyTorch 2.0.0
agnostic_nms,false,default,
amp,true,default,
angle,1.0,default,
augment,false,default,
auto_augment,randaugment,default,
bgr,0.0,default,
box,7.5,default,
cache,false,default,
channels_last,false,default,
close_mosaic,10,default,
cls,0.5,default,
cls_pw,0.0,default,
cls_remap,true,default,
compile,false,default,
copy_paste,0.0,default,
copy_paste_mode,flip,default,
cos_lr,false,default,
cutmix,0.0,default,
degrees,0.0,default,
device,'',default,
dfl,1.5,default,
dgrad,0.5,default,
dis,6.0,default,
dlam,1.0,default,
dlog,1.0,default,
dnn,false,default,
dropout,0.0,default,
dynamic,false,default,
erasing,0.4,default,
exist_ok,false,default,
fliplr,0.5,default,
flipud,0.0,default,
format,torchscript,default,
fraction,1.0,default,
hsv_h,0.015,default,
hsv_s,0.7,default,
hsv_v,0.4,default,
iou,0.7,default,
keras,false,default,
kobj,1.0,default,
lrf,0.01,default,
mask_ratio,4,default,
max_det,300,default,
mixup,0.0,default,
mode,train,default,
momentum,0.937,default,
mosaic,1.0,default,
multi_scale,0.0,default,
nbs,64,default,
nms,false,default,
optimize,false,default,
overlap_mask,true,default,
perspective,0.0,default,
plots,true,default,
pose,12.0,default,
profile,false,default,
rect,false,default,
resume,false,default,
retina_masks,false,default,
rle,1.0,default,
save,true,default,
save_conf,false,default,
save_crop,false,default,
save_frames,false,default,
save_json,false,default,
save_period,-1,default,
save_txt,false,default,
scale,0.5,default,
shear,0.0,default,
show,false,default,
show_boxes,true,default,
show_conf,true,default,
show_labels,true,default,
simplify,true,default,
single_cls,false,default,
split,val,default,
stream_buffer,false,default,
task,detect,default,
tracker,tracktrack.yaml,default,
translate,0.1,default,
val,true,default,
verbose,true,default,
vid_stride,1,default,
visualize,false,default,
warmup_bias_lr,0.1,default,
warmup_epochs,3.0,default,
warmup_momentum,0.8,default,
workers,8,default,
