result,check,detail
PASS,doubled-word,no doubled word in 12 file(s)
PASS,single-homes,0.24 ms latency noise floor: 0.24 present in 5.5
PASS,single-homes,"0.0515 margin, 95 excluded low-informati: 0.0515, 95, 23 present in 3.7"
PASS,single-homes,"95.9% / 84.9% published disagreement: 95.9, 84.9 present in 1"
PASS,single-homes,"95.9% / 84.9% published disagreement: 95.9, 84.9 present in 2.1"
FAIL,deviation-phrasing,"found 2, expected 3 (abstract x1, 1 x1) -- The exact phrasing replaced a bare 'under a single configuration', which flattened 5.3."
PASS,deviation-bare-form,absent as required
PASS,section9-otherwise-holds,found 1 in 9 x1
FAIL,section9-contradicted-form,PRESENT in 9 x1 -- The form 5.3 flatly contradicts.
PASS,tabulate-wording,found 1 in 1 x1
PASS,tabulate-loose-form,absent as required
PASS,quarter-never-bare,absent as required
PASS,abstract-names-no-model,absent as required
FAIL,most-accurate-forbidden,PRESENT in 1 x1 -- RT-DETR-l leads mAP@50 only; YOLO26s leads mAP@50-95.
PASS,availability-placeholders-visible,found 2 in 10 x2
